State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,03/07/2024,2800,3500,3266,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,06/07/2024,2000,2900,2450,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,10/07/2024,1900,2700,2300,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,15/07/2024,1900,1900,1900,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,29/07/2024,1500,2700,2100,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,05/08/2024,1600,3500,2680,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,08/08/2024,2700,3000,2850,23
Maharashtra,Nagpur,Hingna,Onion,White,FAQ,17/08/2024,3000,3000,3000,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,06/06/2024,1500,2300,2300,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,12/06/2024,2500,3500,3100,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,15/06/2024,3300,3300,3300,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,19/06/2024,2700,2700,2700,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,21/06/2024,2800,2800,2800,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,27/06/2024,1800,2700,2700,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,08/05/2024,1700,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,16/05/2024,1600,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,01/01/2024,1700,2500,2500,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,06/01/2024,1800,1800,1800,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,18/01/2024,2500,2500,2500,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,29/01/2024,1400,1400,1400,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,06/02/2024,1500,1500,1500,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,12/02/2024,2000,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,14/02/2024,1500,3000,3000,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,15/02/2024,2000,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,04/03/2024,1600,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,06/03/2024,2000,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,11/03/2024,2000,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,15/03/2024,1800,1800,1800,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,24/04/2024,1500,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,27/04/2024,1900,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,03/01/2025,2500,3500,2500,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,09/01/2025,3000,3000,3000,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,30/01/2025,3000,3000,3000,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,16/09/2024,4000,5000,4700,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,17/09/2024,4300,5500,4900,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,18/09/2024,3450,3800,3625,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,20/09/2024,3800,5000,4400,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,06/03/2025,3000,3000,3000,23
Maharashtra,Nagpur,Hingna,Onion,White,Local,05/03/2025,1400,2500,2225,23
Maharashtra,Nagpur,Hingna,Onion,White,Local,29/03/2025,2000,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,White,Local,03/03/2025,2400,3000,2526,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,03/12/2024,4000,4500,4250,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,07/12/2024,3500,3500,3500,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,23/12/2024,2000,3200,2664,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,28/12/2024,3000,3000,3000,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,31/12/2024,2800,3500,3075,23
Maharashtra,Nagpur,Hingna,Onion,White,FAQ,23/12/2024,2000,2500,2250,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,20/03/2023,1000,1500,1500,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,08/05/2023,1200,1200,1200,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,10/05/2023,1300,1300,1300,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,16/05/2023,1200,1200,1200,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,01/06/2023,1200,1200,1200,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,06/06/2023,1200,1200,1200,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,07/06/2023,1300,1300,1300,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,14/06/2023,1200,1200,1200,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,21/06/2023,1200,1200,1200,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,22/06/2023,1300,1300,1300,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,19/07/2023,1600,1600,1600,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,20/07/2023,1600,1600,1600,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,24/07/2023,1700,1700,1700,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,31/07/2023,1600,1600,1600,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,01/08/2023,1700,1700,1700,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,04/08/2023,1400,1400,1400,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,05/08/2023,1300,1300,1300,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,29/08/2023,2200,2200,2200,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,18/09/2023,1800,1800,1800,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,25/09/2023,1700,1700,1700,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,30/09/2023,2100,2100,2100,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,23/10/2023,2500,2500,2500,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,26/10/2023,2200,2200,2200,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,30/10/2023,4000,4000,4000,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,01/11/2023,2700,2700,2700,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,08/11/2023,2500,2500,2500,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,29/11/2023,2500,2500,2500,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,09/12/2023,2200,2200,2200,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,12/12/2023,2200,2200,2200,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,03/02/2025,2500,4000,3020,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,07/02/2025,2500,3000,2750,23
Maharashtra,Nagpur,Hingna,Onion,White,Local,17/02/2025,3000,3000,3000,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,04/02/2025,2000,3000,2460,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,11/06/2025,1500,1500,1500,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,16/06/2025,1600,2000,1850,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,18/06/2025,1500,2000,1750,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,20/06/2025,1600,2000,1800,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,21/06/2025,1600,2000,1800,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,27/06/2025,2000,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,01/07/2025,1000,1800,1400,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,03/07/2025,1600,1600,1600,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,07/07/2025,2000,2200,2066,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,10/07/2025,1800,2000,1900,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,14/07/2025,1800,2000,1920,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,15/07/2025,1800,2000,1900,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,16/07/2025,1500,2000,1766,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,23/07/2025,2000,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,White,Local,24/07/2025,1300,1500,1400,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,16/04/2025,2000,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,17/04/2025,1100,2000,1550,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,25/04/2025,1500,2000,1800,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,28/04/2025,1500,2000,1900,23
Maharashtra,Nagpur,Hingna,Onion,White,Local,08/04/2025,1200,2000,1566,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,04/10/2024,4000,4500,4250,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,19/10/2024,3800,4000,3900,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,24/10/2024,3500,4000,3833,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,16/10/2024,3500,3500,3500,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,26/11/2024,3500,4000,3750,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,07/11/2024,3000,4500,3750,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,27/11/2024,4000,4000,4000,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,03/05/2025,1100,2000,1400,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,16/05/2025,1600,2000,1800,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,26/05/2025,1500,1500,1500,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,30/05/2025,1200,2000,1650,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,31/05/2025,1600,2000,1800,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,04/09/2025,2000,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,19/09/2025,1100,1200,1150,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,01/11/2025,1200,2200,1700,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,11/10/2025,2000,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,25/08/2025,1400,2200,1866,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,01/01/2025,3000,3000,3000,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,07/01/2025,2500,3000,2500,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,23/01/2025,3000,4000,3000,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,28/01/2025,3000,3500,3250,23
Maharashtra,Nagpur,Hingna,Onion,White,Local,28/01/2025,3000,3000,3000,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,09/11/2024,3000,4200,3712,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,16/11/2024,4000,4000,4000,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,18/11/2024,4000,4000,4000,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,12/11/2024,4000,4000,4000,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,25/11/2024,3500,4000,3833,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,30/11/2024,4000,4000,4000,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,04/09/2024,4000,5000,4500,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,12/09/2024,3200,5000,3200,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,21/09/2024,3300,3300,3300,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,02/12/2024,3500,4000,4000,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,16/12/2024,2800,5000,3820,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,20/12/2024,3000,3500,3000,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,21/12/2024,3000,3500,3250,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,26/12/2024,1900,3000,2475,23
Maharashtra,Nagpur,Hingna,Onion,White,FAQ,18/12/2024,3000,3000,3000,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,17/10/2024,3800,4000,3900,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,10/10/2024,4000,4000,4000,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,13/08/2024,3200,3200,3200,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,27/08/2024,2200,4000,2200,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,01/08/2024,2800,2800,2800,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,26/08/2024,3700,5000,4350,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,21/10/2024,4000,4200,4066,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,22/10/2024,4500,4500,4500,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,15/10/2024,1800,3500,2933,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,15/01/2024,1600,1600,1600,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,17/01/2024,2500,2500,2500,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,24/01/2024,1800,1800,1800,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,05/02/2024,1400,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,08/02/2024,1400,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,13/02/2024,1500,1500,1500,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,01/03/2024,1500,1800,1800,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,07/03/2024,1600,2000,1800,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,18/03/2024,1600,1600,1600,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,02/04/2024,1700,1700,1700,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,06/04/2024,1800,1800,1800,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,22/04/2024,1600,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,02/05/2024,2000,2200,2200,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,07/05/2024,1500,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,27/05/2024,1500,1500,1500,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,07/06/2024,2100,2100,2100,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,18/06/2024,3000,3000,3000,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,26/06/2024,2800,2800,2800,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,08/07/2024,2600,4000,3241,23
Maharashtra,Nagpur,Hingna,Onion,Red,FAQ,23/07/2024,2900,2900,2900,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,01/04/2025,2000,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,11/04/2025,1200,2000,1733,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,21/04/2025,1600,2000,1866,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,24/04/2025,1200,2000,1600,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,26/04/2025,1500,2000,1750,23
Maharashtra,Nagpur,Hingna,Onion,White,Local,11/04/2025,2000,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,White,Local,17/04/2025,1600,1600,1600,23
Maharashtra,Nagpur,Hingna,Onion,White,Local,19/04/2025,1600,1600,1600,23
Maharashtra,Nagpur,Hingna,Onion,White,Local,25/04/2025,1200,2000,1600,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,06/05/2023,1200,1200,1200,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,18/05/2023,1200,1200,1200,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,05/06/2023,1300,1300,1300,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,08/06/2023,1300,1300,1300,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,12/06/2023,1200,1200,1200,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,13/06/2023,1200,1200,1200,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,28/06/2023,1400,1400,1400,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,21/07/2023,1600,1600,1600,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,02/08/2023,1600,1600,1600,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,10/08/2023,1700,1700,1700,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,23/08/2023,2200,2200,2200,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,28/08/2023,1900,1900,1900,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,09/10/2023,1800,1800,1800,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,10/10/2023,1800,1800,1800,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,16/10/2023,1800,1800,1800,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,03/11/2023,3500,3500,3500,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,20/11/2023,4000,4000,4000,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,15/12/2023,2200,2200,2200,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,16/12/2023,1800,3000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,22/12/2023,1800,3500,3500,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,26/12/2023,1900,3000,3000,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,29/12/2023,1600,1600,1600,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,15/03/2025,2300,2300,2300,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,22/03/2025,2200,2500,2300,23
Maharashtra,Nagpur,Hingna,Onion,White,Local,27/03/2025,2000,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,04/10/2025,2000,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,04/11/2025,1200,2000,1600,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,06/10/2025,1300,2000,1766,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,08/10/2025,2000,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,09/10/2025,2000,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,18/10/2025,1200,1200,1200,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,29/10/2025,1200,2000,1600,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,12/05/2025,1000,2000,1606,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,19/05/2025,800,2000,1675,23
Maharashtra,Nagpur,Hingna,Onion,White,Local,09/05/2025,1200,1200,1200,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,05/06/2025,1600,2000,1800,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,13/06/2025,1500,2000,1750,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,26/06/2025,1300,1300,1300,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,11/07/2025,1400,2000,1850,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,18/07/2025,1800,2000,1900,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,19/07/2025,1500,1700,1600,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,26/07/2025,1600,1600,1600,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,28/07/2025,1100,2000,1780,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,05/08/2025,1600,1600,1600,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,06/08/2025,1800,1800,1800,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,13/08/2025,1400,1400,1400,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,05/09/2025,2000,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,06/09/2025,2000,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,16/09/2025,2000,2000,2000,23
Maharashtra,Nagpur,Hingna,Onion,Red,Local,29/09/2025,1100,2000,1650,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,15/05/2023,1200,1200,1200,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,25/05/2023,1200,1200,1200,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,26/05/2023,1200,1200,1200,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,31/05/2023,1100,1100,1100,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,03/06/2023,1100,1100,1100,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,15/06/2023,1200,1200,1200,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,17/06/2023,1200,1200,1200,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,10/07/2023,1800,1800,1800,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,03/08/2023,1700,1700,1700,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,14/08/2023,1600,1600,1600,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,05/09/2023,2300,2300,2300,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,09/09/2023,2300,2300,2300,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,12/09/2023,1200,1200,1200,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,04/11/2023,3500,3500,3500,23
Maharashtra,Nagpur,Hingna,Onion,Other,FAQ,06/11/2023,2500,2500,2500,23
