State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,03/07/2024,2500,2600,2550,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,09/07/2024,2600,2600,2600,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,15/07/2024,1800,2600,2200,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,19/07/2024,2600,2600,2600,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,30/07/2024,2500,2800,2650,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,01/07/2024,1800,2670,2290,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,06/07/2024,2000,2800,2400,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,01/08/2024,2400,2600,2500,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,31/08/2024,2600,2600,2600,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,24/06/2024,1800,2600,2250,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,02/09/2024,2800,3500,2866,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,20/04/2024,2000,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,05/01/2024,1700,1700,1700,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,10/01/2024,1200,1200,1200,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,11/01/2024,1200,1200,1200,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,15/01/2024,1200,1200,1200,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,18/01/2024,1800,1800,1800,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,24/01/2024,1500,1500,1500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,05/02/2024,1200,1500,1500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,21/02/2024,1500,1500,1500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,22/02/2024,1000,1000,1000,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,23/02/2024,1000,1000,1000,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,18/03/2024,1500,1500,1500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,26/03/2024,2000,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,28/03/2024,1600,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,08/04/2024,1900,2500,2500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,13/04/2024,2500,2500,2500,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,06/01/2025,1800,2500,2150,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,07/01/2025,1800,2500,1800,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,09/01/2025,2300,2500,2400,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,10/01/2025,2500,2500,2500,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,13/01/2025,1600,2500,1600,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,28/01/2025,2500,2500,2500,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,30/01/2025,2400,2500,2450,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,31/01/2025,1700,2500,1700,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,16/09/2024,2000,3500,2775,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,19/09/2024,2200,3500,2733,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,21/09/2024,2300,2300,2300,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,23/09/2024,2200,5000,3187,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,30/09/2024,2200,3000,2600,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,26/09/2024,2200,2500,2350,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,14/05/2024,2100,2100,2100,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,15/05/2024,2000,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,16/05/2024,2000,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,31/05/2024,1900,1900,1900,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,06/05/2024,1900,2500,2200,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,10/05/2024,2100,2100,2100,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,18/05/2024,2000,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,21/05/2024,2100,2100,2100,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,20/03/2025,2000,2000,2000,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,04/03/2025,1600,2000,1900,24
Maharashtra,Nagpur,Hingna,Potato,Local,Local,24/03/2025,1400,2000,1800,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,28/10/2024,2500,3000,2700,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,03/12/2024,2600,3000,2800,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,05/12/2024,2600,2600,2600,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,06/12/2024,2600,2600,2600,24
Maharashtra,Nagpur,Hingna,Potato,Local,FAQ,28/12/2024,2500,2500,2500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,08/05/2023,1600,1600,1600,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,10/05/2023,1500,1500,1500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,18/05/2023,1500,1500,1500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,24/05/2023,1500,1500,1500,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,13/06/2023,1400,1400,1400,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,17/06/2023,1400,1400,1400,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,22/06/2023,1200,1200,1200,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,05/07/2023,1800,1800,1800,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,31/07/2023,1700,1700,1700,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,05/08/2023,1400,1400,1400,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,07/08/2023,1600,1600,1600,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,10/08/2023,1600,1600,1600,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,23/08/2023,1600,1600,1600,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,24/08/2023,1700,1700,1700,24
Maharashtra,Nagpur,Hingna,Potato,Other,FAQ,29/08/2023,1800,1800,1800,24
