State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Nagpur,Nagpur,Rice,Other,FAQ,05/08/2024,3000,3200,3150,3
Maharashtra,Nagpur,Nagpur,Rice,Other,FAQ,01/06/2024,3000,3200,3150,3
Maharashtra,Nagpur,Nagpur,Rice,Other,FAQ,20/05/2025,3000,3200,3150,3
Maharashtra,Nagpur,Nagpur,Rice,Other,Local,28/10/2025,3000,3200,3150,3
Maharashtra,Nagpur,Nagpur,Rice,Other,Local,14/08/2025,3000,3200,3150,3
Maharashtra,Nagpur,Nagpur,Rice,Other,FAQ,25/11/2024,5600,6000,5900,3
Maharashtra,Nagpur,Nagpur,Rice,Other,FAQ,03/08/2024,3000,3200,3150,3
Maharashtra,Nagpur,Nagpur,Rice,Other,FAQ,12/07/2024,3000,3200,3150,3
Maharashtra,Nagpur,Nagpur,Rice,Other,FAQ,24/06/2023,4700,5000,4925,3
Maharashtra,Nagpur,Nagpur,Rice,Other,FAQ,27/03/2023,2400,2600,2550,3
Maharashtra,Nagpur,Nagpur,Rice,Other,FAQ,29/06/2024,3000,3200,3150,3
Maharashtra,Nagpur,Nagpur,Rice,Other,Local,28/07/2025,6200,6500,6425,3
Maharashtra,Nagpur,Nagpur,Rice,Other,Local,29/08/2025,3000,3200,3150,3
Maharashtra,Nagpur,Nagpur,Rice,Other,Local,12/09/2025,3000,3200,3150,3
Maharashtra,Nagpur,Nagpur,Rice,Other,FAQ,27/02/2024,3000,3200,3150,3
Maharashtra,Nagpur,Nagpur,Rice,Other,FAQ,21/03/2023,2700,3000,2925,3
Maharashtra,Nagpur,Nagpur,Rice,Other,FAQ,03/08/2023,2400,2600,2550,3
Maharashtra,Nagpur,Nagpur,Rice,Other,Local,17/09/2025,3000,3200,3150,3
Maharashtra,Nagpur,Nagpur,Rice,Other,Local,20/09/2025,6200,6500,6425,3
Maharashtra,Nagpur,Nagpur,Rice,Other,FAQ,11/04/2023,2400,2600,2550,3
Maharashtra,Nagpur,Nagpur,Rice,Other,FAQ,28/09/2024,5600,6000,5900,3
