State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,05/07/2024,2500,4000,3475,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,20/07/2024,3000,6000,4500,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,03/08/2024,2000,3000,2400,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,07/08/2024,3000,4000,3500,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,08/08/2024,3500,4000,3666,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,23/08/2024,1500,4500,2600,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,24/08/2024,3000,3000,3000,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,28/08/2024,2000,3700,2640,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,29/08/2024,1800,2500,2120,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,14/05/2024,500,1250,900,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,18/05/2024,1000,1750,1400,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,21/05/2024,1500,2500,2250,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,22/05/2024,1600,2750,1750,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,29/04/2024,900,1700,1200,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,09/01/2024,1000,1600,1250,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,10/01/2024,800,1500,1250,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,24/01/2024,1250,2000,1500,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,27/02/2024,1250,1600,1400,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,29/02/2024,1400,2000,1500,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,12/03/2024,1000,1500,1250,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,15/03/2024,1250,2000,1500,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,15/01/2025,350,2000,750,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,22/01/2025,400,2000,840,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,04/01/2025,300,1000,635,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,18/01/2025,250,1000,596,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,30/01/2025,400,1000,653,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,09/09/2024,1800,4000,2355,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,04/06/2024,1250,3000,2550,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,08/06/2024,2000,3250,2750,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,10/06/2024,2100,3250,2750,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,18/06/2024,3000,5500,4250,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,19/06/2024,4000,4500,4500,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,01/03/2025,300,800,582,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,25/03/2025,280,800,520,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,04/11/2024,1000,8000,3950,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,07/11/2024,2500,4500,3612,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,22/11/2024,2000,4000,3236,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,23/11/2024,2000,4350,3085,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,26/11/2024,3000,4250,3750,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,05/02/2025,250,2000,518,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,21/02/2025,500,1000,697,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,28/02/2025,400,1000,661,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,13/12/2024,1000,3000,1902,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,14/12/2024,500,3000,1459,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,28/12/2024,400,1000,737,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,02/06/2025,2000,2000,2000,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,09/06/2025,1500,2250,1905,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,28/06/2025,2500,4000,2750,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,30/06/2025,2000,4000,2958,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,05/07/2025,2000,4000,3416,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,15/07/2025,3000,3500,3150,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,19/07/2025,2500,3000,2666,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,23/07/2025,4000,4500,4166,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,24/07/2025,2500,4000,3250,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,31/07/2025,4000,4500,4250,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,02/04/2025,240,1000,587,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,07/04/2025,280,1000,570,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,08/04/2025,600,1500,889,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,16/10/2024,1000,5500,4552,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,03/10/2024,3500,7500,5189,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,28/02/2023,1000,1000,1000,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,12/04/2023,600,1000,800,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,20/04/2023,600,800,700,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,29/04/2023,500,1000,800,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,06/05/2023,500,700,600,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,02/06/2023,900,1300,1100,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,20/07/2023,6000,6000,6000,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,25/07/2023,6000,6000,6000,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,31/07/2023,7000,7000,7000,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,12/09/2023,800,1600,1100,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,25/09/2023,1600,2500,2000,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,01/11/2023,1000,2000,1500,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,07/11/2023,800,2500,1250,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,25/11/2023,1500,2500,2000,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,28/11/2023,1000,1600,1250,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,30/11/2023,800,2000,1600,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,04/12/2023,1500,2000,1800,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,05/12/2023,1000,1500,1250,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,16/12/2023,625,1400,800,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,18/12/2023,625,1000,800,78
Maharashtra,Nagpur,Hingna,Tomato,Other,FAQ,28/12/2023,1000,2000,1600,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,19/05/2025,300,1500,1077,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,20/05/2025,500,1300,1110,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,04/09/2025,2500,4000,3122,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,10/09/2025,1200,3000,1988,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,18/09/2025,2000,3000,2650,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,19/09/2025,1000,3300,2418,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,22/09/2025,250,3000,2055,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,01/11/2025,750,3000,1614,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,04/10/2025,1000,3000,1670,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,04/11/2025,500,3000,1531,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,08/10/2025,1000,3000,1937,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,09/10/2025,750,2750,1770,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,27/10/2025,500,3000,1420,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,31/10/2025,1500,3500,2320,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,25/08/2025,1000,3500,2718,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,28/08/2025,2000,3500,2837,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,12/08/2025,3500,4000,3875,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,01/02/2025,250,1000,594,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,03/02/2025,200,750,516,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,04/02/2025,250,1000,496,78
Maharashtra,Nagpur,Hingna,Tomato,Local,Local,19/02/2025,500,800,673,78
Maharashtra,Nagpur,Hingna,Tomato,Local,FAQ,04/09/2024,2000,3000,2433,78
