State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Nagpur,Bhiwapur,Wheat,Other,FAQ,05/06/2024,2200,2200,2200,1
Maharashtra,Nagpur,Bhiwapur,Wheat,Other,FAQ,30/03/2025,2400,2465,2452,1
Maharashtra,Nagpur,Bhiwapur,Wheat,Other,FAQ,08/06/2023,2200,2200,2200,1
Maharashtra,Nagpur,Bhiwapur,Wheat,Other,FAQ,23/04/2025,2430,2430,2430,1
Maharashtra,Nagpur,Bhiwapur,Wheat,Other,FAQ,27/04/2025,2400,2425,2412,1
Maharashtra,Nagpur,Bhiwapur,Wheat,Other,FAQ,16/04/2025,2400,2455,2427,1
Maharashtra,Nagpur,Bhiwapur,Wheat,Other,FAQ,25/05/2025,2425,2425,2425,1
Maharashtra,Nagpur,Bhiwapur,Wheat,Other,FAQ,20/03/2024,2200,2200,2200,1
Maharashtra,Nagpur,Bhiwapur,Wheat,Other,FAQ,06/04/2025,2300,2400,2350,1
Maharashtra,Nagpur,Bhiwapur,Wheat,Other,FAQ,28/05/2023,2150,2150,2150,1
Maharashtra,Nagpur,Bhiwapur,Wheat,Other,FAQ,16/03/2025,2300,2400,2350,1
Maharashtra,Nagpur,Bhiwapur,Wheat,Other,FAQ,22/05/2024,2200,2225,2212,1
Maharashtra,Nagpur,Bhiwapur,Wheat,Other,FAQ,29/05/2024,2200,2200,2200,1
Maharashtra,Nagpur,Bhiwapur,Wheat,Other,FAQ,12/06/2024,2200,2200,2200,1
Maharashtra,Nagpur,Bhiwapur,Wheat,Other,FAQ,03/04/2024,2175,2175,2175,1
Maharashtra,Nagpur,Bhiwapur,Wheat,Other,FAQ,28/04/2024,2050,2100,2085,1
Maharashtra,Nagpur,Bhiwapur,Wheat,Other,FAQ,26/03/2025,2450,2600,2525,1
Maharashtra,Nagpur,Bhiwapur,Wheat,Other,FAQ,04/06/2025,2425,2450,2437,1
Maharashtra,Nagpur,Bhiwapur,Wheat,Other,FAQ,10/08/2025,2500,2500,2500,1
Maharashtra,Nagpur,Bhiwapur,Wheat,Other,FAQ,27/03/2024,2050,2200,2125,1
